date,actual,ensemble_pred,fold,TrendAgent_pred,MomentumAgent_pred,VolatilityAgent_pred,SequenceAgent_pred,sequence_pred,TrendAgent_weight,MomentumAgent_weight,VolatilityAgent_weight,SequenceAgent_weight,sequence_weight
2013-02-11,-0.00019779312934956617,0.0008156574860888669,0,0.0009087004372750021,0.0019588989671319723,7.649057079106569e-05,0.00031853996915742755,0.00031853996915742755,0.2505139029335844,0.24505114980782494,0.25237273394502463,0.2520622133135661,0.2520622133135661
2013-02-12,0.0016461550396234773,0.00019870538922782188,0,0.0008961151112071865,-0.0003631542786024511,-6.928073707967997e-05,0.00032012746669352055,0.00032012746669352055,0.25240640605585013,0.24324018492699698,0.25168970380706357,0.25266370521008935,0.25266370521008935
2013-02-13,0.0008544232332657297,0.0010029048360105828,0,0.0008871898719489636,0.0029241747688502073,-5.198904182179831e-05,0.0003197163750883192,0.0003197163750883192,0.25487011208251026,0.23793416745803628,0.25260428401850005,0.2545914364409534,0.2545914364409534
2013-02-14,0.0009194925319538724,0.00024187482208056394,0,0.0008818857589893911,0.00030867051100358367,-0.0005515573429875076,0.0003259771328885108,0.0003259771328885108,0.2574186775666778,0.23908059538815038,0.24760881310402405,0.2558919139411478,0.2558919139411478
2013-02-15,-0.001182197640792978,0.000895976924153383,0,0.0008801409299810966,0.000548314768821001,0.0018295258050784469,0.00033339887158945203,0.00033339887158945203,0.2576310891092014,0.23992584265957667,0.24526123036088995,0.25718183787033183,0.25718183787033183
2013-02-19,0.007466451541236244,-0.0002002518116377463,0,0.0009087152918584947,-0.0022437970619648695,4.695056486525573e-05,0.0003595301532186568,0.0003595301532186568,0.2583601719323833,0.23858094649677603,0.24546782678027776,0.257591054790563,0.257591054790563
2013-02-20,-0.012541339474147052,0.0007873984674443806,0,0.0009230672388011764,-0.0004199017130304128,0.0023176756221801043,0.0003112701524514705,0.0003112701524514705,0.2583215466440073,0.23900478828485733,0.24488876868339626,0.2577848963877392,0.2577848963877392
2013-02-21,-0.006097961329972912,0.000873900068034382,0,0.0009401528123935802,0.00014134938828647137,0.0019931027200073004,0.0004234797670505941,0.0004234797670505941,0.25829787523619613,0.23949951576301098,0.24407339423219976,0.2581292147685932,0.2581292147685932
2013-02-22,0.009725281491429578,0.0014550750194499073,0,0.0009597652718798776,0.003037655958905816,0.0014078851090744138,0.0005269657704047859,0.0005269657704047859,0.2580140613160209,0.24035491924961264,0.24407649177682367,0.2575545276575428,0.2575545276575428
2013-02-25,-0.019209835034170408,0.0015505502866257456,0,0.0010327633083838312,0.001320835086517036,0.0034707975573837757,0.00046387664042413235,0.00046387664042413235,0.2581480508267767,0.24041454184753203,0.2436140111970813,0.25782339612860994,0.25782339612860994
2013-02-26,0.006822116191408298,0.0014476650774794195,0,0.001060089057632732,0.0013054308947175741,0.0028792484663426876,0.0006156745948828757,0.0006156745948828757,0.25783179130644285,0.24034592220876702,0.24477980729012797,0.2570424791946623,0.2570424791946623
2013-02-27,0.012519460028507753,-0.0006665813691074564,0,0.0010886738302011457,0.0016587068093940616,-0.006110141985118389,0.000582393491640687,0.000582393491640687,0.2585694255562717,0.24119955381745467,0.24261836807504905,0.2576126525512247,0.2576126525512247
2013-02-28,-0.0019767384919370423,-0.0011494874479931728,0,0.001118226421884087,-0.003701127367094159,-0.002709418535232544,0.0004325810878071934,0.0004325810878071934,0.2559707560072969,0.24213792532191142,0.24482196470783418,0.25706935396295755,0.25706935396295755
2013-03-01,0.0032925650776455344,-0.00019602042800942086,0,0.001148446472748554,0.0010259937262162566,-0.003421149682253599,0.0003856992407236248,0.0003856992407236248,0.2577478657854244,0.24373574395585734,0.24029213089804674,0.2582242593606715,0.2582242593606715
2013-03-04,0.005310896885910937,-0.0009307784653289137,0,0.0012413218465200946,-0.0020959845278412104,-0.003445105394348502,0.0003406788455322385,0.0003406788455322385,0.25929271167883094,0.24303226433345465,0.23839219490177685,0.25928282908593764,0.25928282908593764
2013-03-05,0.008919001310949208,2.9375946287518514e-05,0,0.0012710806320264242,0.00039428449235856533,-0.001972449477761984,0.0002861227258108556,0.0002861227258108556,0.25999431480085355,0.24326404110490246,0.23727093741502098,0.259470706679223,0.259470706679223
2013-03-06,0.0013603376919471533,-0.0003165545785505466,0,0.0012999238425022098,-0.0007614020141772926,-0.0022014554124325514,0.0002043996937572956,0.0002043996937572956,0.26248921704867734,0.24322493924983343,0.23307778984262026,0.26120805385886886,0.26120805385886886
2013-03-07,0.0018104546089921618,0.0006524111256854086,0,0.0013275302662880612,-9.33033661567606e-05,0.001190194976516068,0.00018848743638955057,0.00018848743638955057,0.2647603341559289,0.2405351162506279,0.23488723060411193,0.2598173189893313,0.2598173189893313
2013-03-08,0.004254893722211442,0.00035457001236027883,0,0.0013535811096136725,0.0014115998055785894,-0.0016814011614769697,0.00019858477753587067,0.00019858477753587067,0.2660483254866632,0.24175251476103304,0.2323456186893409,0.25985354106296293,0.25985354106296293
2013-03-11,0.003788785513697923,0.0005493482814553742,0,0.0014206022238774812,0.0012906750198453665,-0.0008250951068475842,0.00019658281235024333,0.00019658281235024333,0.267363286458637,0.24281397555517617,0.23033482128529895,0.2594879167008879,0.2594879167008879
2013-03-12,-0.0022455185765483496,0.0005414827572604077,0,0.0014373501311793387,0.001605699653737247,-0.0012283839751034975,0.0001936174521688372,0.0001936174521688372,0.2659850879552385,0.241216168446196,0.23241653281114832,0.26038221078741713,0.26038221078741713
2013-03-13,0.0014118583690233178,0.00090399680265262,0,0.0014510434047099255,0.0017423464450985193,0.00014679091691505164,0.0002444181009195745,0.0002444181009195745,0.268589058359281,0.2432365847405959,0.22985967589878833,0.25831468100133476,0.25831468100133476
2013-03-14,0.005309933163026762,0.0009552350756311385,0,0.0014614125594934412,0.003231058595702052,-0.001282820594497025,0.0002774628228507936,0.0002774628228507936,0.26940971206469644,0.24514684960312202,0.22757597853168648,0.2578674598004951,0.2578674598004951
2013-03-15,-0.0013213284246026279,0.000741032760983444,0,0.0014682018036394622,0.0020303777419030666,-0.000967525178566575,0.0002634288102854043,0.0002634288102854043,0.2682813221226615,0.2425680224062527,0.2298509909533993,0.25929966451768655,0.25929966451768655
2013-03-18,-0.005533704350851315,-0.00017759001392823003,0,0.0014660852194089448,-0.0005608377396129072,-0.0022204976994544268,0.00029121365514583886,0.00029121365514583886,0.2666072728103399,0.2430349159609382,0.23136371642629994,0.2589940948024219,0.2589940948024219
2013-03-19,-0.0023258466329378604,0.0008354636155143773,0,0.001456319117368439,0.00042646407382562757,0.0010684593580663204,0.000372016045730561,0.000372016045730561,0.26553367219733714,0.24366326275911596,0.2310635833514373,0.25973948169210964,0.25973948169210964
2013-03-20,0.006961005252629409,0.0010509085853060301,0,0.001441946834977552,-0.00025946140522137284,0.002676874864846468,0.00043395813554525375,0.00043395813554525375,0.2659495538929792,0.24257537717497066,0.23220747603171543,0.2592675929003347,0.2592675929003347
2013-03-21,-0.008579700770602515,0.0008823703964540803,0,0.0014228220017828575,0.002432915149256587,-0.0008103462168946862,0.00039331818697974086,0.00039331818697974086,0.2656807040685074,0.24176274716833018,0.23299167477453842,0.25956487398862405,0.25956487398862405
2013-03-22,0.008001448792350605,0.00088373395260394,0,0.0013988202353166816,0.0007798385340720415,0.0008760691271163523,0.00046016121632419527,0.00046016121632419527,0.26605636609017425,0.24169750012234856,0.2329920491435524,0.2592540846439248,0.2592540846439248
2013-03-25,-0.004186276867852575,0.0004806484076762985,0,0.001297973863793521,0.000585156143642962,-0.00047944256220944226,0.0004072827869094908,0.0004072827869094908,0.2650983151464405,0.24163162972437713,0.2338895988188472,0.25938045631033513,0.25938045631033513
2013-03-26,0.007970978687641583,0.0003344960861743927,0,0.0012536864093632882,-0.0013991242740303278,0.0009821782587096095,0.00042600484448485076,0.00042600484448485076,0.2657308500073084,0.24048212363404503,0.23430150752940151,0.25948551882924503,0.25948551882924503
2013-03-27,0.0,0.001359738493684864,0,0.0012042544765977843,0.0029785463120788336,0.000982118071988225,0.00035968111478723586,0.00035968111478723586,0.26695085266056834,0.23538494806639187,0.23577810666291946,0.2618860926101203,0.2618860926101203
2013-03-28,0.0030683734474364253,0.0010715134938203662,0,0.0011496987514842635,0.0015867132460698485,0.001280454220250249,0.00034064025385305285,0.00034064025385305285,0.2672844473847138,0.23652892826030758,0.23635004533986267,0.259836579015116,0.259836579015116
2013-04-01,-0.003965398505372801,0.0018281456864267227,0,0.0008835131392817437,0.002041845815256238,0.004345126915723085,0.0003158516774419695,0.0003158516774419695,0.26818366214629896,0.2365139491972343,0.23422369466423185,0.261078693992235,0.261078693992235
2013-04-02,0.004922429103811648,0.00033974467085911935,0,0.0008045310896080315,-0.000884867156855762,0.0010249780025333166,0.00035694934194907546,0.00035694934194907546,0.26874774204658924,0.2351853148678836,0.23490773133330975,0.26115921175221746,0.26115921175221746
2013-04-03,-0.010191033875505769,0.0014883647199245163,0,0.0007210759782314124,0.0033864981960505247,0.0017447739373892546,0.0003379610716365278,0.0003379610716365278,0.269108514628334,0.2343991746652784,0.23482813209900114,0.26166417860738655,0.26166417860738655
2013-04-04,0.004050433616227485,0.00040780762421519694,0,0.000633341150721599,0.00028934929287061095,0.00023468316067010164,0.00043734180508181453,0.00043734180508181453,0.2694342350810538,0.23424950980041126,0.23460544347181014,0.2617108116467248,0.2617108116467248
2013-04-05,-0.004501434543314792,0.0009664606415329536,0,0.000541542668243197,0.0013418345479294658,0.0016698356484994292,0.00043740603723563254,0.00043740603723563254,0.2698523833598029,0.233944134253822,0.23399719948272144,0.26220628290365366,0.26220628290365366
2013-04-08,0.006744729026635731,0.0010934316353884632,0,0.0002455665765180734,0.0005811807350255549,0.0032736288849264383,0.00047741454909555614,0.00047741454909555614,0.26912669917837473,0.23361668886468492,0.23552000501869239,0.2617366069382479,0.2617366069382479
2013-04-09,0.003450756659786915,0.000940838530389795,0,0.00014009689141378841,0.0029664773028343916,0.0004222895950078964,0.0004227855824865401,0.0004227855824865401,0.26788756537663916,0.2359436695031243,0.23500425535999564,0.2611645097602409,0.2611645097602409
2013-04-10,0.01217420478881812,0.0008066103178550454,0,3.195162602521724e-05,0.0020766863599419594,0.0009017371339723468,0.0003681886591948569,0.0003681886591948569,0.2675215976661541,0.23645365826631876,0.23505411912856936,0.26097062493895784,0.26097062493895784
2013-04-11,0.0032719645298321352,-0.0012153488007156463,0,-7.85380621320267e-05,-0.004494505934417248,-0.0008325637318193913,0.0002456281508784741,0.0002456281508784741,0.268874607548555,0.2329134581213635,0.2356990117270291,0.26251292260305237,0.26251292260305237
2013-04-12,-0.002452622863971684,0.00010314829297833778,0,-0.00019102626772203916,0.001337147317826748,-0.0008772793225944042,0.00018987510702572763,0.00018987510702572763,0.26962293194913406,0.23059555679919924,0.23721671204003672,0.26256479921163,0.26256479921163
2013-04-15,-0.02344685592607668,-0.0004913757395374749,0,-0.0005355152614661331,-0.002409031381830573,0.0006344380672089756,0.00022098954650573432,0.00022098954650573432,0.2696397286812733,0.23097058244166557,0.23698408016197772,0.2624056087150834,0.2624056087150834
2013-04-16,0.014654989545364608,0.0005975714677918377,0,-0.0006522971235863662,0.0023480337113142014,0.0004367375513538718,0.00048638490261510015,0.00048638490261510015,0.2691535189416075,0.23152493617643546,0.23694284313943123,0.26237870174252576,0.26237870174252576
2013-04-17,-0.014719363385239584,-0.001017878263529325,0,-0.0007691812252260959,0.00031686018337495625,-0.004227600991725922,0.00044778152368962765,0.00044778152368962765,0.2691039672055551,0.23109950469050355,0.23795439390066195,0.2618421342032794,0.2618421342032794
2013-04-18,-0.006272914884838815,0.0009349385510624996,0,-0.0008857666595776337,0.0013926151441410184,0.002952317474409938,0.0005688629462383687,0.0005688629462383687,0.2703236676971932,0.23089337591544393,0.2366045425882704,0.2621784137990926,0.2621784137990926
2013-04-19,0.008655682344294164,-0.000940479408928426,0,-0.0010016494058006674,-0.0012632225407287478,-0.0023245278280228376,0.0006558651803061366,0.0006558651803061366,0.2703221454833682,0.2307664027730074,0.23591741089712012,0.26299404084650424,0.26299404084650424
2013-04-22,0.004428374950307391,-0.002133748582703666,0,-0.0013397145773615682,-0.0020050103776156902,-0.006189839448779821,0.0005756246973760426,0.0005756246973760426,0.2711598152894355,0.23111016158253803,0.2329578294312706,0.2647721936967559,0.2647721936967559
2013-04-23,0.010256031461588051,-1.8685951233804373e-05,0,-0.001448747880944732,0.0025087317917495966,-0.001427695620805025,0.00047949037980288267,0.00047949037980288267,0.2704298292438815,0.23214788821000396,0.23234135014893098,0.2650809323971836,0.2650809323971836
2013-04-24,0.000633997803880364,-0.0010122394923155781,0,-0.001555075552803305,-0.0027556708082556725,-0.00018023389566224068,0.00033913517836481333,0.00033913517836481333,0.2700015183604093,0.22816280504629333,0.2342338237906299,0.2676018528026675,0.2676018528026675
2013-04-25,0.004045452635908984,-0.00034680018238364635,0,-0.0016583132103109167,0.0004478245973587036,-0.0003322081465739757,0.00028618774376809597,0.00028618774376809597,0.26828749760842757,0.22898093112438586,0.2343322951655696,0.26839927610161707,0.26839927610161707
2013-04-26,-0.0017682687797792266,-0.0005774129111062655,0,-0.0017580860584916899,-0.0001997864746954292,-0.0005392013117671013,0.00024724050308577716,0.00024724050308577716,0.2709750471121636,0.2284590250374142,0.23490622353257964,0.26565970431784264,0.26565970431784264
2013-04-29,0.00667644573530687,-0.001400164839822913,0,-0.0020317294092941094,-0.004948732443153858,0.0008883645059540868,0.0002720900811254978,0.0002720900811254978,0.27075688766752065,0.22638595970320563,0.23611330326212002,0.2667438493671538,0.2667438493671538
2013-04-30,0.0023822830421085573,-0.00010747737542939787,0,-0.0021141464306181235,0.0018156657461076975,-4.740175427286886e-05,0.00024402918643318117,0.00024402918643318117,0.26656611873913716,0.22867543598785922,0.2367901996220966,0.26796824565090704,0.26796824565090704
2013-05-01,-0.008806108719296496,-0.00047511097536477196,0,-0.002191427337261541,0.0002681440091691911,-6.548296369146556e-05,0.0002359872160013765,0.0002359872160013765,0.26757028515579745,0.22829384126397856,0.23659285954837025,0.26754301403185365,0.26754301403185365
2013-05-02,0.009244525786221855,-0.0010839460113718513,0,-0.0022632893559477087,-0.0019539680797606707,-0.0005207324866205454,0.00033984603942371905,0.00033984603942371905,0.2669618893680029,0.22792276014064455,0.2368655977180746,0.2682497527732779,0.2682497527732779
2013-05-03,0.010089998894301956,-0.0006197712790377072,0,-0.0023294701920711933,-0.00048697541933506727,0.00012640828208532184,0.00031000771559774876,0.00031000771559774876,0.26607347656366925,0.22800088704618685,0.23720594353052704,0.2687196928596168,0.2687196928596168
2013-05-06,0.002537237831020087,-0.00046284489363115623,0,-0.002490317216487332,0.00034228115691803396,0.00025907615781761706,0.0002242770278826356,0.0002242770278826356,0.26221927296330305,0.22926932027155394,0.23843821229918424,0.2700731944659589,0.2700731944659589
2013-05-07,0.005055714800246455,-0.0006065989257923635,0,-0.002531601737894308,0.00025703004212118685,-0.00022521956998389214,0.00019256887026131153,0.00019256887026131153,0.26030626946144114,0.2299889631084125,0.2388349276036096,0.27086983982653673,0.27086983982653673
2013-05-08,0.004540524751562747,-0.000215691068516625,0,-0.00256624115594637,0.0011472302721813321,0.0006001882720738649,0.00016657952801324427,0.00016657952801324427,0.2575348779169421,0.23124092693188186,0.23973678558910716,0.2714874095620689,0.2714874095620689
